step,total_loss,presence_loss,type_loss,type_extra_loss,rotation_extra_loss,weighted_type_extra_loss,weighted_rotation_extra_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,other_loss,center_grid_loss,weighted_center_grid_loss,center_axis_relative_loss,weighted_center_axis_relative_loss,center_bin_loss,weighted_center_bin_loss,center_x_bin_loss,center_y_bin_loss,weighted_center_x_bin_loss,weighted_center_y_bin_loss,center_bin_slot_weight_mean,center_bin_slot_weight_max,center_offset_loss,weighted_center_offset_loss,aux_center_bin_loss,weighted_aux_center_bin_loss,aux_center_offset_loss,weighted_aux_center_offset_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,174.7001495361328,0.6923149228096008,0.0,0.0,0.005834302864968777,0.0,0.0,0.31514492630958557,nan,0.472115159034729,0.4704025089740753,0.0029171514324843884,nan,1707.4891357421875,170.74891662597656,0.0,0.0,2.9040935039520264,2.9040935039520264,3.216681480407715,2.591505527496338,1.6083407402038574,1.295752763748169,1.0,1.0,0.03967691957950592,0.03967691957950592,0.0,0.0,0.0,0.0,174.7001495361328,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,172.11033630371094,0.014561229385435581,0.0,0.0,3.89434399039601e-06,0.0,0.0,0.31273671984672546,nan,0.46834319829940796,0.46986502408981323,1.947171995198005e-06,nan,1692.8485107421875,169.28485107421875,0.0,0.0,2.464262008666992,2.464262008666992,2.941124439239502,1.9873998165130615,1.470562219619751,0.9936999082565308,1.0,1.0,0.03392533212900162,0.03392533212900162,0.0,0.0,0.0,0.0,172.11033630371094,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,171.9290008544922,0.00010312748054275289,0.0,0.0,9.979772812584997e-07,0.0,0.0,0.31273704767227173,nan,0.4683455228805542,0.4698651432991028,4.989886406292499e-07,nan,1692.87109375,169.287109375,0.0,0.0,2.2979238033294678,2.2979238033294678,2.8203063011169434,1.7755414247512817,1.4101531505584717,0.8877707123756409,1.0,1.0,0.031137308105826378,0.031137308105826378,0.0,0.0,0.0,0.0,171.9290008544922,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,171.9225616455078,3.194796227035113e-05,0.0,0.0,1.6690731285962102e-07,0.0,0.0,0.3127342164516449,nan,0.4683370292186737,0.469865620136261,8.345365642981051e-08,nan,1692.8377685546875,169.28378295898438,0.0,0.0,2.294891357421875,2.294891357421875,2.8154053688049316,1.7743772268295288,1.4077026844024658,0.8871886134147644,1.0,1.0,0.031122824177145958,0.031122824177145958,0.0,0.0,0.0,0.0,171.9225616455078,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,171.92372131347656,4.7352546971524134e-05,0.0,0.0,1.461796728108311e-05,0.0,0.0,0.31273797154426575,nan,0.46833738684654236,0.4698691964149475,7.308983640541555e-06,nan,1692.8489990234375,169.28489685058594,0.0,0.0,2.29489803314209,2.29489803314209,2.8152925968170166,1.7745035886764526,1.4076462984085083,0.8872517943382263,1.0,1.0,0.031132260337471962,0.031132260337471962,0.0,0.0,0.0,0.0,171.92372131347656,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,171.92112731933594,8.914269528759178e-06,0.0,0.0,3.0479190282761692e-09,0.0,0.0,0.31273388862609863,nan,0.4683368504047394,0.4698648154735565,1.5239595141380846e-09,nan,1692.8377685546875,169.28378295898438,0.0,0.0,2.293473958969116,2.293473958969116,2.81302547454834,1.7739224433898926,1.40651273727417,0.8869612216949463,1.0,1.0,0.03112284280359745,0.03112284280359745,0.0,0.0,0.0,0.0,171.92112731933594,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,171.9209442138672,6.17686828263686e-06,0.0,0.0,1.5668314290451235e-07,0.0,0.0,0.312733918428421,nan,0.46833688020706177,0.4698648452758789,7.834157145225618e-08,nan,1692.8380126953125,169.28379821777344,0.0,0.0,2.293286085128784,2.293286085128784,2.8127005100250244,1.773871660232544,1.4063502550125122,0.886935830116272,1.0,1.0,0.03112286888062954,0.03112286888062954,0.0,0.0,0.0,0.0,171.9209442138672,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,171.9214324951172,2.880300598917529e-05,0.0,0.0,1.8627265063742016e-08,0.0,0.0,0.31273388862609863,nan,0.4683367609977722,0.4698648750782013,9.313632531871008e-09,nan,1692.837646484375,169.2837677001953,0.0,0.0,2.293789863586426,2.293789863586426,2.8134636878967285,1.7741159200668335,1.4067318439483643,0.8870579600334167,1.0,1.0,0.031122976914048195,0.031122976914048195,0.0,0.0,0.0,0.0,171.9214324951172,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,171.9208526611328,9.015881005325355e-06,0.0,0.0,1.6004945632697165e-11,0.0,0.0,0.31273385882377625,nan,0.4683367609977722,0.4698648452758789,8.002472816348583e-12,nan,1692.837646484375,169.2837677001953,0.0,0.0,2.293212652206421,2.293212652206421,2.812553644180298,1.773871660232544,1.406276822090149,0.886935830116272,1.0,1.0,0.03112282045185566,0.03112282045185566,0.0,0.0,0.0,0.0,171.9208526611328,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,171.92062377929688,4.027313934784615e-06,0.0,0.0,1.2548841255011212e-07,0.0,0.0,0.312733918428421,nan,0.46833688020706177,0.4698648452758789,6.274420627505606e-08,nan,1692.83740234375,169.2837371826172,0.0,0.0,2.2930169105529785,2.2930169105529785,2.8122353553771973,1.7737985849380493,1.4061176776885986,0.8868992924690247,1.0,1.0,0.03112279251217842,0.03112279251217842,0.0,0.0,0.0,0.0,171.92062377929688,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1000,171.92092895507812,1.6923228031373583e-05,0.0,0.0,1.008316985462443e-08,0.0,0.0,0.31273388862609863,nan,0.4683368504047394,0.4698648154735565,5.041584927312215e-09,nan,1692.837646484375,169.2837677001953,0.0,0.0,2.293301582336426,2.293301582336426,2.8126699924468994,1.773932933807373,1.4063349962234497,0.8869664669036865,1.0,1.0,0.031122911721467972,0.031122911721467972,0.0,0.0,0.0,0.0,171.92092895507812,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1100,171.920654296875,6.89670605424908e-06,0.0,0.0,1.4738227999133713e-11,0.0,0.0,0.31273385882377625,nan,0.46833673119544983,0.4698648452758789,7.369113999566856e-12,nan,1692.8375244140625,169.28375244140625,0.0,0.0,2.2930383682250977,2.2930383682250977,2.812258720397949,1.7738182544708252,1.4061293601989746,0.8869091272354126,1.0,1.0,0.031122803688049316,0.031122803688049316,0.0,0.0,0.0,0.0,171.920654296875,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1200,171.92398071289062,3.827885666396469e-05,0.0,0.0,4.095077656529611e-06,0.0,0.0,0.3127363324165344,nan,0.46834027767181396,0.46986669301986694,2.0475388282648055e-06,nan,1692.855224609375,169.2855224609375,0.0,0.0,2.2945361137390137,2.2945361137390137,2.8148605823516846,1.7742116451263428,1.4074302911758423,0.8871058225631714,1.0,1.0,0.031154239550232887,0.031154239550232887,0.0,0.0,0.0,0.0,171.92398071289062,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1300,171.92074584960938,1.4880395610816777e-05,0.0,0.0,2.9770172993437427e-09,0.0,0.0,0.31273385882377625,nan,0.4683367609977722,0.4698648452758789,1.4885086496718714e-09,nan,1692.8372802734375,169.2837371826172,0.0,0.0,2.2931482791900635,2.2931482791900635,2.8124167919158936,1.7738797664642334,1.4062083959579468,0.8869398832321167,1.0,1.0,0.031122831627726555,0.031122831627726555,0.0,0.0,0.0,0.0,171.92074584960938,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1400,171.9205780029297,6.806883448007284e-06,0.0,0.0,5.6194198599923695e-12,0.0,0.0,0.31273385882377625,nan,0.4683367609977722,0.4698648452758789,2.8097099299961847e-12,nan,1692.83740234375,169.2837371826172,0.0,0.0,2.2929723262786865,2.2929723262786865,2.8121449947357178,1.7737995386123657,1.4060724973678589,0.8868997693061829,1.0,1.0,0.03112279810011387,0.03112279810011387,0.0,0.0,0.0,0.0,171.9205780029297,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1500,171.92105102539062,1.630866427149158e-05,0.0,0.0,2.246553094664705e-06,0.0,0.0,0.31273433566093445,nan,0.46833691000938416,0.46986496448516846,1.1232765473323525e-06,nan,1692.8404541015625,169.28404235839844,0.0,0.0,2.293137788772583,2.293137788772583,2.812390089035034,1.7738853693008423,1.406195044517517,0.8869426846504211,1.0,1.0,0.03112674131989479,0.03112674131989479,0.0,0.0,0.0,0.0,171.92105102539062,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
