split,group_name,group_value,sample_count,initial_center_error_px_mean,refined_center_error_px_mean,center_error_delta_px_mean,true_width_mean,initial_width_mean,refined_width_mean,width_drift_m_mean,true_length_mean,initial_length_mean,refined_length_mean,length_drift_m_mean,true_depth_mean,initial_depth_mean,refined_depth_mean,depth_drift_m_mean,initial_angle_mae_deg,refined_angle_mae_deg,angle_error_delta_mean,center_drift_m_mean,parameter_drift_norm_mean
train,overall,rect_rot,268,2.199690649522627,2.266897969751346,0.06720732022871932,0.011115671952129967,0.010156749454048921,0.01015522164021577,-1.5278138331512906e-06,0.007130597052581386,0.006921013082210809,0.0069046278167933005,-1.6385265417508226e-05,0.0015537313567022724,0.001500000013038516,0.0014712665366432838,-2.873347639523224e-05,20.069571078751686,20.15534366986323,0.08577259111153746,0.00032533925751055336,0.41337588749026866
train,defect_type,rectangular_notch,134,2.0561516675382188,2.1704996470722846,0.1143479795340659,0.013186567393479063,0.011700607242007086,0.011771770326226061,7.116308421897355e-05,0.007925373158042334,0.007243106631673316,0.007313639742197163,7.053311052384661e-05,0.0017231343272350618,0.001500000013038516,0.0014931740892578417,-6.825923780674365e-06,nan,nan,nan,0.000332877273351906,0.4442937418074862
train,defect_type,rotated_rect,134,2.343229631507035,2.363296292430408,0.02006666092337273,0.009044776510780872,0.008612891666090755,0.00853867295420548,-7.421871188527612e-05,0.006335820947120439,0.0065989195327483,0.006495615891389438,-0.00010330364135886306,0.0013843283861694829,0.001500000013038516,0.0014493589840287259,-5.064102900979012e-05,20.069571078751686,20.15534366986323,0.08577259111153746,0.0003178012416692008,0.38245803317305116
train,source_pack,pilot_v2_rectangular_notch,81,1.8895533611136612,2.066760143504358,0.17720678239069698,0.012913580477973561,0.011684027132520706,0.012104562058308978,0.00042053492578827305,0.007913580262044698,0.0073977671276180094,0.007706819349370989,0.00030905222175297913,0.0017999999963873882,0.001500000013038516,0.0014467842971768092,-5.3215715861706825e-05,nan,nan,nan,0.00031550475372399146,0.43209127308029655
train,source_pack,pilot_v3_rotated_rect,30,2.247094086206628,2.367162431132213,0.12006834492558432,0.012666667097558577,0.011234101994584004,0.011642733635380865,0.0004086316407968601,0.007500000049670537,0.007206481788307429,0.007491845404729247,0.0002853636164218187,0.0017666666923711698,0.001500000013038516,0.0014540186462303002,-4.598136680821578e-05,20.178224577510022,20.571424707045864,0.39320012953583755,0.00030358804414228074,0.4304459959170802
train,source_pack,pilot_v7_topup_rotated_rect,16,2.213425628073124,2.0688362838052843,-0.14458934426784015,0.00800000037997961,0.007709459780016914,0.007453008438460529,-0.00025645134155638516,0.006000000052154064,0.006442689889809117,0.006186428741784766,-0.0002562611480243504,0.0010000000474974513,0.001500000013038516,0.0014258759474614635,-7.412406557705253e-05,20.111943426503032,20.41852923727023,0.3065858107671966,0.0003180452742609751,0.39436674920830495
train,source_pack,pilot_v8_topup_rotated_rect,24,2.1741260178448676,2.206064047720465,0.031938029875597344,0.00800000037997961,0.007842655992135406,0.0077460136769029,-9.66423152325054e-05,0.006000000052154064,0.006416143907699734,0.00627561171616738,-0.00014053219153235355,0.0010000000474974513,0.001500000013038516,0.0014284457138273865,-7.155429921112955e-05,19.940177377118175,19.41921284147795,-0.5209645356402266,0.00030541063879225384,0.3130201875233846
train,source_pack,pilot_v9_topup_rectangular_notch,53,2.3107641735832964,2.329044926110058,0.018280752526761833,0.013603773811515773,0.011725946654618348,0.011263164094174808,-0.00046278256044354077,0.007943396263246267,0.007006738703908786,0.00671274260670509,-0.00029399609720369554,0.0016056603800399967,0.001500000013038516,0.001564071696023193,6.407168298467713e-05,nan,nan,nan,0.0003594277278775867,0.4629427977867759
train,source_pack,pilot_v9_topup_rotated_rect,64,2.484158024348392,2.494061133836447,0.00990310948805501,0.00800000037997961,0.007898895673861261,0.007652307867829222,-0.0002465878060320392,0.006000000052154064,0.006421722995582968,0.006188431660120841,-0.00023329133546212688,0.001445312516807462,0.001500000013038516,0.0014608880028390558,-3.91120101994602e-05,20.05656930238345,20.170558352476593,0.11398905009314353,0.00032904914594085607,0.3830256887465991
val,overall,rect_rot,66,2.5403482700477835,2.565948084254974,0.02559981420718981,0.00910606077223113,0.008976935373732087,0.008986395854277142,9.460480545054782e-06,0.006924242479726672,0.006782056643825137,0.006772253351906936,-9.80329191820188e-06,0.0014196969921503103,0.001500000013038516,0.00148324930694688,-1.6750706091636058e-05,19.5283409088842,20.857504129924383,1.3291632210401834,0.00033076419615305587,0.3997323681854168
val,defect_type,rectangular_notch,33,2.5097463880704844,2.642751178609985,0.13300479053950115,0.009181818134631172,0.009031476241282442,0.009127460603574009,9.598436229156725e-05,0.00745454550523198,0.006915224786622055,0.00698484844443473,6.962365781267484e-05,0.0016727272745673404,0.001500000013038516,0.00150839666215082,8.396649112304052e-06,nan,nan,nan,0.0003526154332915358,0.42913519287578
val,defect_type,rotated_rect,33,2.5709501520250835,2.4891449898999625,-0.08180516212512154,0.009030303409831091,0.008922394506181732,0.008845331104980274,-7.70634012014577e-05,0.006393939454221364,0.00664888850102822,0.006559658259379141,-8.923024164907861e-05,0.0011666667097332802,0.001500000013038516,0.00145810195174294,-4.189806129557617e-05,19.5283409088842,20.857504129924383,1.3291632210401834,0.00030891295901457587,0.37032954349505365
val,source_pack,pilot_v2_rectangular_notch,19,2.5569309451284585,2.8149607533506895,0.25802980822223165,0.00905263154326301,0.009121633257324758,0.009543458539012232,0.000421825281687473,0.007684210511414628,0.0071197981014847755,0.007427164549498181,0.00030736644801340605,0.0017263157918166957,0.001500000013038516,0.0015059355340015731,5.935520963057091e-06,nan,nan,nan,0.00035974585691514926,0.4468003879940654
val,source_pack,pilot_v3_rotated_rect,9,2.521643811486095,2.6866132298775276,0.1649694183914331,0.011777778156101704,0.011166403897934489,0.011602081461913057,0.0004356775639785661,0.007444444526400831,0.0070212964589397115,0.007315827947523858,0.00029453148858414754,0.0016111111423621576,0.001500000013038516,0.0014569233818393615,-4.307663119915459e-05,16.78310624381929,16.782921209874033,-0.00018503394526053144,0.00032852971149212947,0.4413074430573869
val,source_pack,pilot_v7_topup_rotated_rect,8,2.8003244693226326,2.4261555991001957,-0.37416887022243683,0.00800000037997961,0.007787291891872883,0.007520458253566176,-0.00026683363830670714,0.006000000052154064,0.006474522117059678,0.006214690743945539,-0.00025983137311413884,0.0010000000474974513,0.001500000013038516,0.0014603568124584854,-3.964320058003068e-05,22.6768404729063,24.845567330750875,2.168726857844579,0.00026995670139059254,0.3773165748324452
val,source_pack,pilot_v8_topup_rotated_rect,8,2.4843117658312073,2.640260259337219,0.1559484935060117,0.00800000037997961,0.008208375482354313,0.0079288161941804,-0.00027955928817391396,0.006000000052154064,0.006438465206883848,0.00620799558237195,-0.00023046962451189756,0.0010000000474974513,0.001500000013038516,0.0014525256847264245,-4.747432831209153e-05,17.278080367875226,18.538861184807104,1.26078081693188,0.0003343946876180073,0.3522691278826694
val,source_pack,pilot_v9_topup_rectangular_notch,14,2.4457102034918052,2.409038184319029,-0.03667201917277592,0.009357142794345106,0.008909120290939296,0.00856289197690785,-0.0003462283140314477,0.007142857282555529,0.006637589573594076,0.006384562301848616,-0.00025302727174546035,0.0016000000011575008,0.001500000013038516,0.0015117367646390839,1.1736751600567783e-05,nan,nan,nan,0.00034293842980234615,0.405160999500964
val,source_pack,pilot_v9_topup_rotated_rect,8,2.483683854027773,2.17886734128771,-0.30481651274006333,0.00800000037997961,0.008247005578596145,0.007985374715644866,-0.0002616308629512787,0.006000000052154064,0.006614719226490706,0.006405597552657127,-0.00020912167383357882,0.0010000000474974513,0.001500000013038516,0.0014627492491854355,-3.725076385308057e-05,21.718490884069094,23.77198965927181,2.0534987752027156,0.00030031864149788004,0.30155279076242136
test,overall,rect_rot,66,2.2784334046973536,2.4346005066138208,0.15616710191646774,0.009560606230727652,0.00918475793194816,0.009205970496898799,2.121256495063955e-05,0.007310606080643607,0.006936606753504638,0.006931704412581343,-4.902340923294877e-06,0.0015196969845529759,0.001500000013038516,0.001470176182038179,-2.9823831000337094e-05,19.398328526788816,19.232236486223552,-0.1660920405652675,0.0003146031767788219,0.4062043727039329
test,defect_type,rectangular_notch,33,2.1005075453482567,2.2972256316715325,0.196718086323276,0.009848484797685436,0.009069043014085653,0.009211223897044405,0.00014218088295875174,0.008196969671795765,0.007133004678921266,0.007223890120671554,9.088544175028801e-05,0.0016909090900850115,0.001500000013038516,0.0014881798186141884,-1.1820194424327576e-05,nan,nan,nan,0.0003267490686546967,0.4183794043679351
test,defect_type,rotated_rect,33,2.456359264046449,2.5719753815561086,0.11561611750965946,0.009272727663769867,0.009300472849810665,0.009200717096753193,-9.975575305747263e-05,0.006424242489491448,0.006740208828088009,0.006639518704491131,-0.00010069012359687777,0.00134848487902094,0.001500000013038516,0.0014521725454621694,-4.7827467576346614e-05,19.398328526788816,19.232236486223552,-0.1660920405652675,0.00030245728490294695,0.39402934103993065
test,source_pack,pilot_v2_rectangular_notch,20,2.0365581669923762,2.218396877932198,0.18183871093982104,0.009749999968335032,0.009378759912215174,0.009803439630195499,0.0004246797179803252,0.007924999995157122,0.007420684606768191,0.007729256665334106,0.0003085720585659146,0.0017349999980069697,0.001500000013038516,0.0014863520045764744,-1.3648008462041616e-05,nan,nan,nan,0.000324689308452135,0.4377074754919654
test,source_pack,pilot_v3_rotated_rect,9,2.380682222866459,2.653115560933571,0.27243333806711156,0.012666667087210549,0.011666374643229775,0.012108375421828695,0.0004420007785989179,0.007555555655724472,0.007202779770725303,0.007509531970653269,0.0003067521999279658,0.0018333333492692974,0.001500000013038516,0.0014363011966149013,-6.369881642361482e-05,21.019683939460613,19.92155009558688,-1.0981338438737371,0.000332747602042978,0.43657260789566216
test,source_pack,pilot_v7_topup_rotated_rect,8,2.6684567729348054,2.7109853365745535,0.04252856363974814,0.00800000037997961,0.008017146494239569,0.007724603230599314,-0.00029254326364025474,0.006000000052154064,0.006474682071711868,0.006215347966644913,-0.0002593341050669551,0.0010000000474974513,0.001500000013038516,0.0014580151037080213,-4.19849093304947e-05,16.123885956970227,15.877991629639617,-0.24589432733061045,0.0003453580077299969,0.39489536804240993
test,source_pack,pilot_v8_topup_rotated_rect,8,2.8707900056090776,2.965676542632792,0.09488653702371441,0.00800000037997961,0.008263278868980706,0.00802445353474468,-0.0002388253342360258,0.006000000052154064,0.006565100804436952,0.006342544744256884,-0.00022255606018006802,0.0010000000474974513,0.001500000013038516,0.0014251100365072489,-7.488997653126717e-05,22.311981256075285,23.01151126483996,0.699530008764679,0.00024086845685285124,0.32185943751747487
test,source_pack,pilot_v9_topup_rectangular_notch,13,2.1988912043573023,2.4185006374243554,0.21960943306705288,0.009999999919762978,0.008592555478501778,0.008300122769119648,-0.00029243270938213053,0.008615384558932139,0.006690420174541382,0.0064464031288830135,-0.00024401704565836833,0.0016230769240512298,0.001500000013038516,0.0014909918402106715,-9.008172827844437e-06,nan,nan,nan,0.00032991793050479154,0.38864391033096535
test,source_pack,pilot_v9_topup_rotated_rect,8,1.914967684922955,1.9479815636613371,0.03301387873838213,0.00800000037997961,0.008959353668615222,0.008581978909205645,-0.00037737475940957665,0.006000000052154064,0.006660451297648251,0.006381898478139192,-0.0002785528195090592,0.001500000013038516,0.001500000013038516,0.0014912477636244148,-8.752249414101243e-06,17.935093528065185,18.03172875365734,0.09663522559215743,0.0002870687833434581,0.41747204234720914
