candidate,selected_seed,seed,split,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_mae_mm,shape_accuracy
internal_v2_conv1d_multitask,True,42,train,shape_type,internal_cuboid,53,0.06660519540309906,0.14473304152488708,0.12997549772262573,0.011809341609477997,0.10464414209127426,0.3848060369491577,1.0
internal_v2_conv1d_multitask,True,42,train,shape_type,internal_ellipsoid,53,0.06754206120967865,0.1252782642841339,0.1132989227771759,0.010003922507166862,0.10956906527280807,0.36781731247901917,1.0
internal_v2_conv1d_multitask,True,42,train,shape_type,internal_sphere,54,0.07276643812656403,0.11609996855258942,0.10922275483608246,0.015416884794831276,0.11684911698102951,0.44539421796798706,1.0
internal_v2_conv1d_multitask,True,42,train,burial_depth_level,deep,40,0.054956573992967606,0.12545742094516754,0.09431537985801697,0.009401769377291203,0.07742845267057419,0.3164600431919098,1.0
internal_v2_conv1d_multitask,True,42,train,burial_depth_level,deep_plus,40,0.07157743722200394,0.12777137756347656,0.1515655815601349,0.014023028314113617,0.11469422280788422,0.3736289441585541,1.0
internal_v2_conv1d_multitask,True,42,train,burial_depth_level,medium,40,0.06797341257333755,0.12768587470054626,0.11237101256847382,0.011544913053512573,0.10495413839817047,0.4370265305042267,1.0
internal_v2_conv1d_multitask,True,42,train,burial_depth_level,shallow,40,0.08147236704826355,0.13358530402183533,0.11153734475374222,0.014745657332241535,0.1445019543170929,0.4713926315307617,1.0
internal_v2_conv1d_multitask,True,42,train,size_level,large,53,0.06486256420612335,0.14249897003173828,0.1395435929298401,0.012250533327460289,0.08808866888284683,0.36720284819602966,1.0
internal_v2_conv1d_multitask,True,42,train,size_level,medium,53,0.07164501398801804,0.1382123827934265,0.11952045559883118,0.010667278431355953,0.1212330013513565,0.3921036720275879,1.0
internal_v2_conv1d_multitask,True,42,train,size_level,small,54,0.0704498216509819,0.10559806227684021,0.0937255248427391,0.014332791790366173,0.12165006250143051,0.4388348460197449,1.0
internal_v2_conv1d_multitask,True,42,train,aspect_bin,compact,90,0.07224033772945404,0.11466363072395325,0.10546869039535522,0.01330455020070076,0.12022822350263596,0.44096359610557556,1.0
internal_v2_conv1d_multitask,True,42,train,aspect_bin,elongated_x,37,0.060874298214912415,0.15298275649547577,0.09575212001800537,0.010824598371982574,0.0961732342839241,0.30245354771614075,1.0
internal_v2_conv1d_multitask,True,42,train,aspect_bin,elongated_y,33,0.06924887001514435,0.139391228556633,0.17444129288196564,0.01183924451470375,0.09952128678560257,0.39584314823150635,1.0
internal_v2_conv1d_multitask,True,42,val,shape_type,internal_cuboid,13,0.407204270362854,1.1834439039230347,0.870606541633606,0.07826267182826996,0.4462865889072418,1.5139544010162354,1.0
internal_v2_conv1d_multitask,True,42,val,shape_type,internal_ellipsoid,14,0.19423899054527283,0.5698543787002563,0.44789212942123413,0.052669867873191833,0.16136735677719116,0.7783750891685486,1.0
internal_v2_conv1d_multitask,True,42,val,shape_type,internal_sphere,13,0.11254467070102692,0.11375949531793594,0.11383573710918427,0.053531669080257416,0.12713783979415894,0.5212766528129578,1.0
internal_v2_conv1d_multitask,True,42,val,burial_depth_level,deep,10,0.17258918285369873,0.40846312046051025,0.4755215048789978,0.05942179262638092,0.13888774812221527,0.6283255219459534,1.0
internal_v2_conv1d_multitask,True,42,val,burial_depth_level,deep_plus,10,0.19413542747497559,0.31378933787345886,0.3471834361553192,0.03943773731589317,0.25817328691482544,1.1024144887924194,1.0
internal_v2_conv1d_multitask,True,42,val,burial_depth_level,medium,10,0.29596462845802307,1.13695228099823,0.4407430589199066,0.10619214922189713,0.18065203726291656,0.8862627148628235,1.0
internal_v2_conv1d_multitask,True,42,val,burial_depth_level,shallow,10,0.2849190831184387,0.624955952167511,0.6433759331703186,0.040018778294324875,0.393653005361557,1.1185230016708374,1.0
internal_v2_conv1d_multitask,True,42,val,size_level,large,13,0.3877509832382202,1.1486120223999023,0.7076548933982849,0.10801436007022858,0.37688836455345154,1.318881869316101,1.0
internal_v2_conv1d_multitask,True,42,val,size_level,medium,14,0.13832755386829376,0.2787299156188965,0.2623397409915924,0.03261376917362213,0.17318905889987946,0.6132042407989502,1.0
internal_v2_conv1d_multitask,True,42,val,size_level,small,13,0.19221027195453644,0.46211016178131104,0.47661301493644714,0.045378852635622025,0.18380503356456757,0.8942252397537231,1.0
internal_v2_conv1d_multitask,True,42,val,aspect_bin,compact,22,0.2483910173177719,0.41317033767700195,0.5035272240638733,0.07566851377487183,0.27573561668395996,1.0335605144500732,1.0
internal_v2_conv1d_multitask,True,42,val,aspect_bin,elongated_x,13,0.15625792741775513,0.8535069823265076,0.1777561604976654,0.045236360281705856,0.08239002525806427,0.5434823632240295,1.0
internal_v2_conv1d_multitask,True,42,val,aspect_bin,elongated_y,5,0.39602547883987427,0.931253969669342,1.1359620094299316,0.03958491235971451,0.5152813792228699,1.5103305578231812,1.0
internal_v2_conv1d_multitask,True,42,test,shape_type,internal_cuboid,14,0.46479788422584534,0.8366206288337708,1.0202072858810425,0.08151514828205109,0.803986668586731,1.5479179620742798,1.0
internal_v2_conv1d_multitask,True,42,test,shape_type,internal_ellipsoid,13,0.5167087316513062,1.2101794481277466,1.6405029296875,0.11804690957069397,0.5823289155960083,1.585443139076233,1.0
internal_v2_conv1d_multitask,True,42,test,shape_type,internal_sphere,13,0.23309558629989624,0.2303832322359085,0.17485664784908295,0.08012618869543076,0.3841460347175598,0.9937129020690918,1.0
internal_v2_conv1d_multitask,True,42,test,burial_depth_level,deep,10,0.42842742800712585,0.9144271016120911,1.3770887851715088,0.1096566766500473,0.44906145334243774,1.2973695993423462,1.0
internal_v2_conv1d_multitask,True,42,test,burial_depth_level,deep_plus,10,0.3963482677936554,0.7343339323997498,0.7059467434883118,0.09349890798330307,0.6311966776847839,1.5178123712539673,1.0
internal_v2_conv1d_multitask,True,42,test,burial_depth_level,medium,10,0.32415691018104553,0.45241105556488037,0.7812826037406921,0.08367451280355453,0.503727376461029,1.0922517776489258,1.0
internal_v2_conv1d_multitask,True,42,test,burial_depth_level,shallow,10,0.4765300750732422,0.9428282380104065,0.923939049243927,0.0849161446094513,0.7980133891105652,1.6125538349151611,1.0
internal_v2_conv1d_multitask,True,42,test,size_level,large,14,0.5113542675971985,0.7941575050354004,1.371537446975708,0.12393259257078171,0.7435662150382996,1.4800506830215454,1.0
internal_v2_conv1d_multitask,True,42,test,size_level,medium,13,0.37554940581321716,0.4919184148311615,0.8885324001312256,0.04590337723493576,0.6867876648902893,1.5105894804000854,1.0
internal_v2_conv1d_multitask,True,42,test,size_level,small,13,0.3241173326969147,0.9943739175796509,0.5484713912010193,0.10658939927816391,0.34475547075271606,1.141654372215271,1.0
internal_v2_conv1d_multitask,True,42,test,aspect_bin,compact,22,0.3132603168487549,0.31906670331954956,0.2910085618495941,0.07075761258602142,0.6069205403327942,1.3053033351898193,1.0
internal_v2_conv1d_multitask,True,42,test,aspect_bin,elongated_x,4,0.48675593733787537,1.8235234022140503,0.8304348587989807,0.11458821594715118,0.7617009282112122,1.237017035484314,1.0
internal_v2_conv1d_multitask,True,42,test,aspect_bin,elongated_y,14,0.5297054648399353,1.1518888473510742,2.0113320350646973,0.12160301953554153,0.5300666093826294,1.538224220275879,1.0
