sample_id,split,shape_type,topology_type,representation_target,rbc_representable,model_pass,baseline_profile_depth_rmse_m,baseline_projected_mask_Dice,baseline_Er_like_error,total_normalized_MAE_vs_oracle,true_component_count,pred_component_count,failure_reason
surf_shape_095_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0009946831784575481,0.40331491712707185,1.9436225460609116,10.093871116638184,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_103_multi_pit_two_component_surface_defect,test,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0009933395655799119,0.35537190082644626,1.931697801691921,10.290268898010254,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_094_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0009329063664854251,0.2935361216730038,2.9602476156132544,2.1625630855560303,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_017_rbc_like_smooth_pit,val,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0009163728988650938,0.2719367588932806,11.76640032702182,1.315084457397461,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_096_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0009100359948061725,0.4330413016270338,1.556900134899017,10.071503639221191,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_003_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0008949928835173742,0.465564738292011,5.4190273311950445,1.1091150045394897,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_005_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0008838572882831529,0.2622187742435997,5.139231415915717,10.512649536132812,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_010_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0008401006827869696,0.33170048985304407,9.129033419666685,1.3398441076278687,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_104_multi_pit_two_component_surface_defect,test,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0008306799499026201,0.2729124236252546,1.4430941361718124,1.7721529006958008,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_065_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,True,False,0.0008301252821214449,0.2714285714285714,9.132037541184644,10.652649879455566,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_026_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,True,False,0.0008188261272693149,0.3984615384615385,4.605075564530254,10.3279447555542,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_101_multi_pit_two_component_surface_defect,test,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0008158570744414307,0.2590068159688413,3.0407401560025478,2.176095962524414,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_002_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.00081577582576044,0.34008683068017365,8.876708726382319,1.35919988155365,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_066_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,True,False,0.0007943569189379473,0.43413421706710853,7.458554127691729,10.298331260681152,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_058_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,True,False,0.0007723305218956341,0.39555555555555555,7.315555623895904,10.475823402404785,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_102_multi_pit_two_component_surface_defect,test,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.000741084078866831,0.3968565815324165,2.374698457303874,2.395580530166626,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_089_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0007190033352373023,0.2838468720821662,5.895474966597158,10.270461082458496,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_033_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,True,False,0.0007155890674548804,0.3119266055045872,4.736285187850481,10.385787963867188,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_073_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.000709653200101005,0.34824902723735407,4.800810915538919,10.109485626220703,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_059_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,True,False,0.0007070296726180187,0.6209677419354839,3.672253931110533,10.08141803741455,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_009_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0007036081928221775,0.28499580888516346,9.040148932611178,1.3107908964157104,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_093_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.000668593866888798,0.2701722574796011,2.5148647108922035,10.433533668518066,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_061_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,True,False,0.0006649869144735027,0.2923076923076923,3.3316259335893856,10.470756530761719,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_074_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.0006562037110209977,0.4900523560209424,3.882627306433855,9.894712448120117,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_115_irregular_corrosion_non_rbc,val,irregular_corrosion_non_rbc,irregular,depth_grid,True,False,0.0006501253901980553,0.66,2.6255316850152894,10.045303344726562,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_081_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.0006455536880947225,0.4121996303142329,3.9126850080039057,10.10771656036377,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_090_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.000638666064341899,0.31433823529411764,4.432188006167547,10.36367416381836,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_114_irregular_corrosion_non_rbc,val,irregular_corrosion_non_rbc,irregular,depth_grid,True,False,0.0006373649960003856,0.48103309120258275,4.602440312561965,10.271361351013184,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_097_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0006267022046808711,0.2401921537229784,5.172906003223702,1.423001766204834,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_108_irregular_corrosion_non_rbc,train,irregular_corrosion_non_rbc,irregular,depth_grid,True,False,0.0006208454758160675,0.7349152542372881,2.213917276727861,10.026589393615723,1,1,profile_rmse_above_threshold
surf_shape_110_irregular_corrosion_non_rbc,train,irregular_corrosion_non_rbc,irregular,depth_grid,True,False,0.000615686954828821,0.4054421768707483,2.0390513845989755,10.39208984375,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_082_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.0005942926987598905,0.4353182751540041,3.6942596415408895,9.933573722839355,1,1,mask_dice_below_threshold
surf_shape_075_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.0005940609482808195,0.5087572977481234,2.0228789217116745,9.97085952758789,1,1,mask_dice_below_threshold
surf_shape_041_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,True,False,0.0005835578257782034,0.31098430813124106,3.577260786741188,10.52820110321045,1,1,mask_dice_below_threshold
surf_shape_100_multi_pit_two_component_surface_defect,val,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0005774448699270614,0.29771689497716897,1.9859618788894964,9.884183883666992,2,1,mask_dice_below_threshold|component_merge_proxy
surf_shape_117_irregular_corrosion_non_rbc,val,irregular_corrosion_non_rbc,irregular,depth_grid,True,False,0.0005741548360815205,0.37532580364900087,2.217509934492168,10.219698905944824,1,1,mask_dice_below_threshold
surf_shape_062_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,True,False,0.0005653171811757003,0.3925925925925926,2.4190355949960085,10.386234283447266,1,1,mask_dice_below_threshold
surf_shape_024_rbc_like_smooth_pit,test,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0005532442241757018,0.6339285714285714,1.488828129775514,0.7072010636329651,1,1,mask_dice_below_threshold
surf_shape_013_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0005515640556339458,0.24981412639405204,3.2030997852599565,1.3416067361831665,1,1,mask_dice_below_threshold
surf_shape_107_irregular_corrosion_non_rbc,train,irregular_corrosion_non_rbc,irregular,depth_grid,True,False,0.0005487285090458173,0.643764002987304,2.2061797130263607,10.09512996673584,1,1,mask_dice_below_threshold
surf_shape_006_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0005424773785765408,0.34944237918215615,2.700249139959178,1.2049692869186401,1,1,mask_dice_below_threshold
surf_shape_091_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0005366381578392448,0.3351449275362319,2.097963755201591,10.058422088623047,2,1,mask_dice_below_threshold|component_merge_proxy
surf_shape_098_multi_pit_two_component_surface_defect,val,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.00053525777738438,0.3381818181818182,3.7773538225362313,10.268824577331543,2,1,mask_dice_below_threshold|component_merge_proxy
surf_shape_118_irregular_corrosion_non_rbc,test,irregular_corrosion_non_rbc,irregular,depth_grid,True,False,0.0005278475956902414,0.4743892828999212,1.735244570061488,10.180487632751465,1,1,mask_dice_below_threshold
surf_shape_088_elongated_crack_like_surface_defect,test,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.0005270110837587416,0.45861297539149887,0.9418267743003194,9.408554077148438,1,1,mask_dice_below_threshold
surf_shape_034_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,True,False,0.0005240547752796816,0.4141732283464567,2.924783739993458,10.313770294189453,1,1,mask_dice_below_threshold
surf_shape_092_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0005239989182161458,0.4142857142857143,1.80636067305721,10.018719673156738,2,1,mask_dice_below_threshold|component_merge_proxy
surf_shape_068_asymmetric_corrosion,val,asymmetric_corrosion,single_component,profile_basis,True,False,0.0005226173257371469,0.5402363534046145,2.421946906641118,10.451870918273926,1,1,mask_dice_below_threshold
surf_shape_069_asymmetric_corrosion,val,asymmetric_corrosion,single_component,profile_basis,True,False,0.0005208990075981856,0.31183673469387757,2.620106406197575,10.391064643859863,1,1,mask_dice_below_threshold
surf_shape_080_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.0004993753186533155,0.48757396449704143,0.8488784532789232,9.912922859191895,1,1,mask_dice_below_threshold
surf_shape_020_rbc_like_smooth_pit,test,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0004941356689270864,0.5023584905660378,2.662836175046337,1.2570194005966187,1,1,mask_dice_below_threshold
surf_shape_023_rbc_like_smooth_pit,test,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0004841234690491351,0.5361972951471758,1.4702757138182119,0.7948421835899353,1,1,mask_dice_below_threshold
surf_shape_087_elongated_crack_like_surface_defect,test,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.00048282635060576697,0.5347150259067357,0.8207471823193386,9.792821884155273,1,1,mask_dice_below_threshold
surf_shape_037_flat_bottom_pit,val,flat_bottom_pit,single_component,polygon_or_contour,True,False,0.00047869995797212217,0.36258437801350046,1.4363383561048058,10.095353126525879,1,1,mask_dice_below_threshold
surf_shape_079_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.0004752822346749575,0.4624017957351291,0.9032854698240047,9.858729362487793,1,1,mask_dice_below_threshold
surf_shape_038_flat_bottom_pit,test,flat_bottom_pit,single_component,polygon_or_contour,True,False,0.0004728785356781078,0.4897579143389199,1.199620891981268,9.965373992919922,1,1,mask_dice_below_threshold
surf_shape_025_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,True,False,0.0004723831384135362,0.4605911330049261,3.1265727261818808,10.028888702392578,1,1,mask_dice_below_threshold
surf_shape_016_rbc_like_smooth_pit,val,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0004720432842972136,0.5903698534542917,1.2734795968364185,0.8378819823265076,1,1,mask_dice_below_threshold
surf_shape_018_rbc_like_smooth_pit,val,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.00047077587235342625,0.6484268125854993,5.122657672622286,0.6246326565742493,1,1,mask_dice_below_threshold
surf_shape_072_asymmetric_corrosion,test,asymmetric_corrosion,single_component,profile_basis,True,False,0.00046548707971253166,0.6531440162271805,1.0809754686092192,10.035667419433594,1,1,mask_dice_below_threshold
surf_shape_019_rbc_like_smooth_pit,val,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0004642032406757924,0.43382827630729504,2.8303319747864957,1.2409210205078125,1,1,mask_dice_below_threshold
surf_shape_105_irregular_corrosion_non_rbc,train,irregular_corrosion_non_rbc,irregular,depth_grid,True,False,0.00045270467245795223,0.4092219020172911,3.8620500245377563,10.267426490783691,1,1,mask_dice_below_threshold
surf_shape_076_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.0004503186594865172,0.4367588932806324,1.6123691564774887,10.04473876953125,1,1,mask_dice_below_threshold
surf_shape_099_multi_pit_two_component_surface_defect,val,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0004489223073523813,0.4397163120567376,1.7645733192155229,9.978920936584473,2,1,mask_dice_below_threshold|component_merge_proxy
surf_shape_001_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0004487911352184057,0.3782559456398641,5.719557764599225,0.9745346903800964,1,1,mask_dice_below_threshold
surf_shape_047_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,True,False,0.00043140673289178704,0.5903614457831325,0.6197853940331911,9.925800323486328,1,1,mask_dice_below_threshold
surf_shape_084_elongated_crack_like_surface_defect,val,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.0004302088852567396,0.5037735849056604,1.4036862047417695,10.015639305114746,1,1,mask_dice_below_threshold
surf_shape_054_sharp_wall_boxy_corrosion,test,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,True,False,0.0004235215689414424,0.5034843205574913,1.0249410909090777,9.991249084472656,1,1,mask_dice_below_threshold
surf_shape_109_irregular_corrosion_non_rbc,train,irregular_corrosion_non_rbc,irregular,depth_grid,True,False,0.0004199086034928456,0.5011820330969267,1.6355838373684115,9.918793678283691,1,1,mask_dice_below_threshold
surf_shape_113_irregular_corrosion_non_rbc,train,irregular_corrosion_non_rbc,irregular,depth_grid,True,False,0.00041683517913459215,0.46120218579234973,3.5545850280950066,10.120884895324707,1,1,mask_dice_below_threshold
surf_shape_030_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,True,False,0.0004107461255741866,0.481994459833795,1.0459851413787729,9.984289169311523,1,1,mask_dice_below_threshold
surf_shape_012_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.00041015399621022235,0.5280199252801993,2.2047806635249576,1.1480869054794312,1,1,mask_dice_below_threshold
surf_shape_057_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,True,False,0.00040873484645149983,0.43097643097643096,4.527722148913271,10.147540092468262,1,1,mask_dice_below_threshold
surf_shape_042_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,True,False,0.00040638869536142457,0.5561694290976059,2.116572251853466,10.057047843933105,1,1,mask_dice_below_threshold
surf_shape_086_elongated_crack_like_surface_defect,test,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.00040491627495931363,0.5071982281284607,1.0890043073540716,9.77145004272461,1,1,mask_dice_below_threshold
surf_shape_021_rbc_like_smooth_pit,test,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0004040945395829901,0.37029063509149623,2.3466995714129997,0.910388171672821,1,1,mask_dice_below_threshold
surf_shape_083_elongated_crack_like_surface_defect,val,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.0004033049781607859,0.5016216216216216,1.4465853879281558,9.908916473388672,1,1,mask_dice_below_threshold
surf_shape_040_flat_bottom_pit,test,flat_bottom_pit,single_component,polygon_or_contour,True,False,0.00039155203245765796,0.5810729355033153,0.5380711127379697,10.09700870513916,1,1,mask_dice_below_threshold
surf_shape_085_elongated_crack_like_surface_defect,val,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.0003888263896581517,0.43393939393939396,1.1956429590167845,9.762717247009277,1,1,mask_dice_below_threshold
surf_shape_106_irregular_corrosion_non_rbc,train,irregular_corrosion_non_rbc,irregular,depth_grid,True,False,0.00038847830386078104,0.5909090909090909,2.8150235414071116,10.048423767089844,1,1,mask_dice_below_threshold
surf_shape_027_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,True,False,0.00038489836604100886,0.5714285714285714,1.194548745424567,10.084242820739746,1,1,mask_dice_below_threshold
surf_shape_049_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,True,False,0.00038475987829645383,0.49496080627099664,2.3425485095657588,10.011543273925781,1,1,mask_dice_below_threshold
surf_shape_051_sharp_wall_boxy_corrosion,val,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,True,False,0.00036950288170815203,0.6871069182389937,1.0665490181887856,9.921862602233887,1,1,mask_dice_below_threshold
surf_shape_014_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0003687876642982705,0.47724974721941354,1.8290054979266552,0.8334186673164368,1,1,mask_dice_below_threshold
surf_shape_111_irregular_corrosion_non_rbc,train,irregular_corrosion_non_rbc,irregular,depth_grid,True,False,0.00036246445657286855,0.5788043478260869,0.7254759692940279,10.114680290222168,1,1,mask_dice_below_threshold
surf_shape_031_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,True,False,0.00036174996843863085,0.6200657894736842,0.562097352971877,9.791722297668457,1,1,mask_dice_below_threshold
surf_shape_050_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,True,False,0.000361708057690303,0.5915768854064642,1.8838645043958056,9.984572410583496,1,1,mask_dice_below_threshold
surf_shape_045_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,True,False,0.000353763682425413,0.4954954954954955,0.981237639139163,9.855755805969238,1,1,mask_dice_below_threshold
surf_shape_077_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.00035271868634105465,0.46943765281173594,1.0472494654084126,9.740204811096191,1,1,mask_dice_below_threshold
surf_shape_078_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,True,False,0.0003507134442320541,0.562429696287964,0.8914029399606624,9.718379020690918,1,1,mask_dice_below_threshold
surf_shape_070_asymmetric_corrosion,test,asymmetric_corrosion,single_component,profile_basis,True,False,0.00034410282127429254,0.522,1.4802633612371312,10.031181335449219,1,1,mask_dice_below_threshold
surf_shape_022_rbc_like_smooth_pit,test,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.00034394969476863875,0.49627263045793396,1.71598214785879,0.7698155045509338,1,1,mask_dice_below_threshold
surf_shape_007_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0003269008598508472,0.58578856152513,0.9881107331835054,0.7007607817649841,1,1,mask_dice_below_threshold
surf_shape_029_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,True,False,0.0002843868398951472,0.45355850422195415,0.8533021975669873,9.874276161193848,1,1,mask_dice_below_threshold
surf_shape_071_asymmetric_corrosion,test,asymmetric_corrosion,single_component,profile_basis,True,False,0.0002686726140861521,0.6540447504302926,0.6997658393170179,9.907753944396973,1,1,mask_dice_below_threshold
surf_shape_053_sharp_wall_boxy_corrosion,val,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,True,False,0.00026812982636753856,0.5475,0.7454102543141294,9.753727912902832,1,1,mask_dice_below_threshold
surf_shape_046_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,True,False,0.00023057969025119324,0.6771653543307087,0.5467768226930598,9.697014808654785,1,1,mask_dice_below_threshold
surf_shape_015_rbc_like_smooth_pit,val,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0002163964454773409,0.6773547094188377,0.65245802833605,0.5393993854522705,1,1,mask_dice_below_threshold
