rank_type,rank,sample_id,split,curvature_template,depth_bin,aspect_bin,normalized_param_mae_mean,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,curvature_mae_mean,projected_mask_dice,profile_depth_rmse_m
highest_total_error,1,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,1.3589539527893066,0.717461109161377,1.6620466709136963,0.5281577110290527,0.550000011920929,0.5,0.550000011920929,0.5333333015441895,0.9495548961424333,0.0004109083383809775
highest_total_error,2,rbc_v3topup_125_test_boxy_shallow_balanced,test,boxy,shallow,balanced,1.2766133546829224,3.173928737640381,0.296763151884079,0.6566306352615356,0.4853184223175049,0.48946845531463623,0.48025476932525635,0.485013872385025,0.9469387755102041,0.00021395251678768545
highest_total_error,3,rbc_v3topup_128_test_LD_dominant_shallow_narrow,test,LD_dominant,shallow,narrow,1.236028790473938,2.9656496047973633,2.7257297039031982,0.5048397183418274,0.6320000290870667,0.26440000534057617,0.42350322008132935,0.4399677515029907,0.8260869565217391,0.0001857656316133216
highest_total_error,4,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,compact,1.1989728212356567,2.084908962249756,1.4728955030441284,1.9470421075820923,0.41547995805740356,0.35735076665878296,0.37762749195098877,0.3834860622882843,0.8951048951048951,0.0006396204116754234
highest_total_error,5,rbc_v3topup_113_test_sharp_shallow_compact,test,sharp,shallow,compact,1.12222158908844,3.953199863433838,2.5582826137542725,1.5166347026824951,0.3854069113731384,0.2781875729560852,0.32938456535339355,0.33099302649497986,0.6187050359712231,0.0007666611927561462
highest_total_error,6,rbc_v2topup_077_buffer_shallow_small_compact_sharp,test,sharp,shallow,compact,0.994136393070221,1.893248438835144,0.9245509505271912,0.8729231953620911,0.24550080299377441,0.4624859690666199,0.35591500997543335,0.3546339273452759,0.782608695652174,0.0004899278283119202
highest_total_error,7,rbc_v3topup_127_test_LD_dominant_shallow_wide,test,LD_dominant,shallow,wide,0.8777937889099121,2.2563133239746094,3.207031726837158,0.20875629782676697,0.459061861038208,0.14586788415908813,0.2873351573944092,0.2974216341972351,0.795959595959596,9.442079317523167e-05
highest_total_error,8,rbc_v3topup_115_test_round_deep_compact,test,round,deep,compact,0.8579348921775818,0.14259293675422668,0.62962806224823,2.1490638256073,0.2986268401145935,0.23543334007263184,0.2502349615097046,0.2614317238330841,0.9704142011834319,0.0008166054612956941
highest_total_error,9,rbc_v3topup_124_test_boxy_shallow_compact,test,boxy,shallow,compact,0.8143482804298401,3.7891995906829834,2.7803406715393066,1.1510179042816162,0.1977684497833252,0.21583378314971924,0.21960562467575073,0.2110692858695984,0.6891891891891891,0.0004948970745317638
highest_total_error,10,rbc_v3topup_120_test_round_deep_narrow,test,round,deep,narrow,0.8142146468162537,2.614043712615967,4.948996067047119,0.9445319771766663,0.16849595308303833,0.2484617829322815,0.18349677324295044,0.2001515030860901,0.8072072072072072,0.00030924237216822803
highest_curvature_error,1,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,1.3589539527893066,0.717461109161377,1.6620466709136963,0.5281577110290527,0.550000011920929,0.5,0.550000011920929,0.5333333015441895,0.9495548961424333,0.0004109083383809775
highest_curvature_error,2,rbc_v3topup_125_test_boxy_shallow_balanced,test,boxy,shallow,balanced,1.2766133546829224,3.173928737640381,0.296763151884079,0.6566306352615356,0.4853184223175049,0.48946845531463623,0.48025476932525635,0.485013872385025,0.9469387755102041,0.00021395251678768545
highest_curvature_error,3,rbc_v3topup_128_test_LD_dominant_shallow_narrow,test,LD_dominant,shallow,narrow,1.236028790473938,2.9656496047973633,2.7257297039031982,0.5048397183418274,0.6320000290870667,0.26440000534057617,0.42350322008132935,0.4399677515029907,0.8260869565217391,0.0001857656316133216
highest_curvature_error,4,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,compact,1.1989728212356567,2.084908962249756,1.4728955030441284,1.9470421075820923,0.41547995805740356,0.35735076665878296,0.37762749195098877,0.3834860622882843,0.8951048951048951,0.0006396204116754234
highest_curvature_error,5,rbc_v2topup_077_buffer_shallow_small_compact_sharp,test,sharp,shallow,compact,0.994136393070221,1.893248438835144,0.9245509505271912,0.8729231953620911,0.24550080299377441,0.4624859690666199,0.35591500997543335,0.3546339273452759,0.782608695652174,0.0004899278283119202
highest_curvature_error,6,rbc_v3topup_113_test_sharp_shallow_compact,test,sharp,shallow,compact,1.12222158908844,3.953199863433838,2.5582826137542725,1.5166347026824951,0.3854069113731384,0.2781875729560852,0.32938456535339355,0.33099302649497986,0.6187050359712231,0.0007666611927561462
highest_curvature_error,7,rbc_v3topup_116_test_round_medium_wide,test,round,medium,wide,0.7378883361816406,0.1392010599374771,0.8232221007347107,0.2021060734987259,0.3836076259613037,0.24438226222991943,0.27176356315612793,0.2999178171157837,0.9397905759162304,0.00017998969997279346
highest_curvature_error,8,rbc_v3topup_127_test_LD_dominant_shallow_wide,test,LD_dominant,shallow,wide,0.8777937889099121,2.2563133239746094,3.207031726837158,0.20875629782676697,0.459061861038208,0.14586788415908813,0.2873351573944092,0.2974216341972351,0.795959595959596,9.442079317523167e-05
highest_curvature_error,9,rbc_v3topup_119_test_round_medium_compact,test,round,medium,compact,0.7442808747291565,1.6566981077194214,0.0646994411945343,0.29665952920913696,0.3229851722717285,0.27584612369537354,0.27621400356292725,0.29168176651000977,0.9027777777777778,0.00028172312886454165
highest_curvature_error,10,rbc_v3topup_115_test_round_deep_compact,test,round,deep,compact,0.8579348921775818,0.14259293675422668,0.62962806224823,2.1490638256073,0.2986268401145935,0.23543334007263184,0.2502349615097046,0.2614317238330841,0.9704142011834319,0.0008166054612956941
highest_wLD_error,1,rbc_v3topup_128_test_LD_dominant_shallow_narrow,test,LD_dominant,shallow,narrow,1.236028790473938,2.9656496047973633,2.7257297039031982,0.5048397183418274,0.6320000290870667,0.26440000534057617,0.42350322008132935,0.4399677515029907,0.8260869565217391,0.0001857656316133216
highest_wLD_error,2,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,1.3589539527893066,0.717461109161377,1.6620466709136963,0.5281577110290527,0.550000011920929,0.5,0.550000011920929,0.5333333015441895,0.9495548961424333,0.0004109083383809775
highest_wLD_error,3,rbc_v3topup_125_test_boxy_shallow_balanced,test,boxy,shallow,balanced,1.2766133546829224,3.173928737640381,0.296763151884079,0.6566306352615356,0.4853184223175049,0.48946845531463623,0.48025476932525635,0.485013872385025,0.9469387755102041,0.00021395251678768545
highest_wLD_error,4,rbc_v3topup_127_test_LD_dominant_shallow_wide,test,LD_dominant,shallow,wide,0.8777937889099121,2.2563133239746094,3.207031726837158,0.20875629782676697,0.459061861038208,0.14586788415908813,0.2873351573944092,0.2974216341972351,0.795959595959596,9.442079317523167e-05
highest_wLD_error,5,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,compact,1.1989728212356567,2.084908962249756,1.4728955030441284,1.9470421075820923,0.41547995805740356,0.35735076665878296,0.37762749195098877,0.3834860622882843,0.8951048951048951,0.0006396204116754234
highest_wLD_error,6,rbc_v3topup_113_test_sharp_shallow_compact,test,sharp,shallow,compact,1.12222158908844,3.953199863433838,2.5582826137542725,1.5166347026824951,0.3854069113731384,0.2781875729560852,0.32938456535339355,0.33099302649497986,0.6187050359712231,0.0007666611927561462
highest_wLD_error,7,rbc_v3topup_116_test_round_medium_wide,test,round,medium,wide,0.7378883361816406,0.1392010599374771,0.8232221007347107,0.2021060734987259,0.3836076259613037,0.24438226222991943,0.27176356315612793,0.2999178171157837,0.9397905759162304,0.00017998969997279346
highest_wLD_error,8,rbc_pilot_045_deep_small_compact_LD_dominant,test,LD_dominant,deep,compact,0.6398627758026123,0.6158724427223206,1.2189671993255615,0.4984084367752075,0.3636643886566162,0.3500000238418579,0.001454472541809082,0.23837296664714813,0.900990099009901,0.00026335654547438025
highest_wLD_error,9,rbc_v3topup_119_test_round_medium_compact,test,round,medium,compact,0.7442808747291565,1.6566981077194214,0.0646994411945343,0.29665952920913696,0.3229851722717285,0.27584612369537354,0.27621400356292725,0.29168176651000977,0.9027777777777778,0.00028172312886454165
highest_wLD_error,10,rbc_v2topup_058_deep_elongated_LD_dominant,test,LD_dominant,deep,narrow,0.4500916004180908,0.3966428339481354,0.976516842842102,0.2257646918296814,0.3039191961288452,0.12585723400115967,0.08027428388595581,0.17001689970493317,0.9437229437229437,0.0001915744214784354
highest_D_error,1,rbc_v3topup_114_test_sharp_deep_balanced,test,sharp,deep,balanced,0.5466728806495667,4.373094081878662,1.792000651359558,3.2068889141082764,0.0,0.014400005340576172,0.0019042491912841797,0.005434751510620117,0.8099688473520249,0.0012649991549551487
highest_D_error,2,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,0.5328844785690308,3.042487382888794,1.1244677305221558,2.202054977416992,0.033478736877441406,0.07827901840209961,0.10516464710235596,0.07230746746063232,0.9106753812636166,0.0011010697344318032
highest_D_error,3,rbc_v3topup_115_test_round_deep_compact,test,round,deep,compact,0.8579348921775818,0.14259293675422668,0.62962806224823,2.1490638256073,0.2986268401145935,0.23543334007263184,0.2502349615097046,0.2614317238330841,0.9704142011834319,0.0008166054612956941
highest_D_error,4,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,compact,1.1989728212356567,2.084908962249756,1.4728955030441284,1.9470421075820923,0.41547995805740356,0.35735076665878296,0.37762749195098877,0.3834860622882843,0.8951048951048951,0.0006396204116754234
highest_D_error,5,rbc_v3topup_109_test_WD_dominant_shallow_narrow,test,WD_dominant,shallow,narrow,0.6650466322898865,3.938535213470459,2.25386118888855,1.8552255630493164,0.11070775985717773,0.19621849060058594,0.05727607011795044,0.12140077352523804,0.8369565217391305,0.0008562870207242668
highest_D_error,6,rbc_pilot_051_shallow_large_wide_WD_dominant,test,WD_dominant,shallow,wide,0.7976354956626892,1.2597497701644897,6.054440498352051,1.7198430299758911,0.1421588659286499,0.24225997924804688,0.0833391547203064,0.15591932833194733,0.7124463519313304,0.0007893528090789914
highest_D_error,7,rbc_pilot_055_medium_large_wide_WD_dominant,test,WD_dominant,medium,wide,0.3866548240184784,0.24650245904922485,0.6962418556213379,1.616098165512085,0.12483429908752441,0.1020054817199707,0.014370918273925781,0.08040356636047363,0.9751243781094527,0.000778578280005604
highest_D_error,8,rbc_v2topup_040_medium_large_wide_LD_dominant,test,LD_dominant,medium,wide,0.45137038826942444,0.2868734300136566,0.44501200318336487,1.5673229694366455,0.2021462321281433,0.07526880502700806,0.0660940408706665,0.11450302600860596,0.981675392670157,0.0007119595538824797
highest_D_error,9,rbc_v3topup_113_test_sharp_shallow_compact,test,sharp,shallow,compact,1.12222158908844,3.953199863433838,2.5582826137542725,1.5166347026824951,0.3854069113731384,0.2781875729560852,0.32938456535339355,0.33099302649497986,0.6187050359712231,0.0007666611927561462
highest_D_error,10,rbc_v2topup_049_shallow_elongated_WD_dominant,test,WD_dominant,shallow,narrow,0.6948787569999695,0.5018562078475952,3.4469316005706787,1.4446591138839722,0.15740472078323364,0.2904679775238037,0.08039665222167969,0.17608977854251862,0.7963800904977375,0.0006502986652776599
lowest_projected_mask_dice,1,rbc_v3topup_113_test_sharp_shallow_compact,test,sharp,shallow,compact,1.12222158908844,3.953199863433838,2.5582826137542725,1.5166347026824951,0.3854069113731384,0.2781875729560852,0.32938456535339355,0.33099302649497986,0.6187050359712231,0.0007666611927561462
lowest_projected_mask_dice,2,rbc_v3topup_124_test_boxy_shallow_compact,test,boxy,shallow,compact,0.8143482804298401,3.7891995906829834,2.7803406715393066,1.1510179042816162,0.1977684497833252,0.21583378314971924,0.21960562467575073,0.2110692858695984,0.6891891891891891,0.0004948970745317638
lowest_projected_mask_dice,3,rbc_pilot_051_shallow_large_wide_WD_dominant,test,WD_dominant,shallow,wide,0.7976354956626892,1.2597497701644897,6.054440498352051,1.7198430299758911,0.1421588659286499,0.24225997924804688,0.0833391547203064,0.15591932833194733,0.7124463519313304,0.0007893528090789914
lowest_projected_mask_dice,4,rbc_v3topup_117_test_round_medium_narrow,test,round,medium,narrow,0.7863524556159973,2.876965284347534,4.639247417449951,0.7639082670211792,0.24730610847473145,0.1679997444152832,0.18281173706054688,0.1993725299835205,0.7790055248618785,0.00025570468278601766
lowest_projected_mask_dice,5,rbc_v3topup_110_test_sharp_medium_compact,test,sharp,medium,compact,0.2982741892337799,2.488778829574585,1.6816426515579224,0.024145003408193588,0.05550652742385864,0.05735623836517334,0.10179561376571655,0.07155279070138931,0.782051282051282,4.8118174163391814e-05
lowest_projected_mask_dice,6,rbc_v2topup_077_buffer_shallow_small_compact_sharp,test,sharp,shallow,compact,0.994136393070221,1.893248438835144,0.9245509505271912,0.8729231953620911,0.24550080299377441,0.4624859690666199,0.35591500997543335,0.3546339273452759,0.782608695652174,0.0004899278283119202
lowest_projected_mask_dice,7,rbc_v3topup_108_test_WD_dominant_medium_wide,test,WD_dominant,medium,wide,0.5923424363136292,4.025120258331299,4.119624614715576,1.1845495700836182,0.05719876289367676,0.15796542167663574,0.052414119243621826,0.08919277042150497,0.7838258164852255,0.000575084937736392
lowest_projected_mask_dice,8,rbc_pilot_038_shallow_medium_balanced_LD_dominant,test,LD_dominant,shallow,balanced,0.5081098079681396,4.372073173522949,0.9410707354545593,0.07676368206739426,0.2566458582878113,0.1362006664276123,0.07430356740951538,0.1557167023420334,0.7938144329896907,4.049786366522312e-05
lowest_projected_mask_dice,9,rbc_v3topup_127_test_LD_dominant_shallow_wide,test,LD_dominant,shallow,wide,0.8777937889099121,2.2563133239746094,3.207031726837158,0.20875629782676697,0.459061861038208,0.14586788415908813,0.2873351573944092,0.2974216341972351,0.795959595959596,9.442079317523167e-05
lowest_projected_mask_dice,10,rbc_v2topup_049_shallow_elongated_WD_dominant,test,WD_dominant,shallow,narrow,0.6948787569999695,0.5018562078475952,3.4469316005706787,1.4446591138839722,0.15740472078323364,0.2904679775238037,0.08039665222167969,0.17608977854251862,0.7963800904977375,0.0006502986652776599
